"id","series_id","product_type","pixel","pixel_configuration","driving_mode","brightness","module_resolution","module_size","cabinet_size","price1","price2","stock","spare_module_price"
"305","36","1","P3.91-7.82(8s)","SMD1921","1/8 duty","4500","128x16","500x125","1000x1000","","511.8",,"22.4"
"306","36","1","P3.91-7.82(16s)","SMD1921","1/16 duty","2500","128x16","500x125","1000x1000","","383.8",,"14.4"
"307","36","1","P7.82","SMD1921","1/4 duty","5000","64x16","500x125","1000x1000","","503.2",,"21.9"
"308","37","1","P2.5","SMD1415","1/25 duty","1200","100x100","250x250","500x1000","","1475.6",,"73.4"
"309","37","1","P2.6","SMD1415","1/32 duty","1200","96x96","250x250","500x1000","","1236.8",,"64.8"
"310","37","1","P2.97","SMD1415","1/42 duty","1200","84x84","250x250","500x1000","","1083.2",,"54.6"
"311","37","1","P3.91","SMD1921","1/32 duty","1200","64x64","250x250","500x1000","","827.4",,"42.6"
"312","38","2","P3.91","SMD1921","1/16 duty","3500","64x64","250x250","500x1000","","2482.1",,"122.8"
"313","38","2","P6.25","SMD2727","1/10 duty","4000","40x40","250x250","500x1000","","1936.2",,"88.7"
"314","38","2","P7.8","SMD2727","1/4 duty","4000","32x32","250x250","500x1000","","1833.8",,"81.9"
"315","38","2","P8.9","SMD3535","1/4 duty","4000","28x28","250x250","500x1000","","1799.7",,"80.2"
"316","39","1","P1.56","SMD1212","1/40 duty","600","160x160","250x250","500x500","","2505.9",,"132.4"
"317","39","1","P1.86","SMD1515","1/34 duty","600","134x134","250x250","500x500","","1941.2",,"97.1"
"318","39","1","P1.95","SMD1515","1/32 duty","600","128x128","250x250","500x500","","1852.9",,"91.6"
"319","39","1","P2.5","SMD1515","1/25 duty","600","96x96","250x250","500x500","","1588.2",,"75"
"320","39","1","P2.6","SMD1515","1/32 duty","600","96x96","250x250","500x500","","1482.4",,"68.5"
"321","40","2","P3","SMD1415","1/16 duty","5500","64x64","192x192","768x768","","572.6",,"13.8 "
"322","40","2","P4(8s)","SMD1921","1/8 duty","6000","64x32 ","256x128","768x768","","510.6",,"10.2 "
"323","40","2","P4(10s)","SMD1921","1/10 duty","5500","80x40","320x160","960x960","","601",,"12.5"
"324","40","2","P5","SMD1921","1/8 duty","5500","64x32 ","320x160","960x960","","404.7",,"9.7"
"325","40","2","P6","SMD3535","1/8 duty","6000","32x32 ","192x192","768x768","","477.1",,"9.4"
"326","40","2","P6.67","SMD3535","1/6 duty","6000","48x24 ","320x160","960x960","","439.8",,"11.5"
"327","40","2","P8(4s)","SMD3535","1/4 duty","6000","32x16","256x128","1024x768","","455.2",,"7.6"
"328","40","2","P8(5s)","SMD3535","1/5 duty","5500","40x20 ","320x160","960x960","","394.2",,"9.2"
"329","40","2","P10(2s)","SMD3535","1/2 duty","5800","32x16","320x160","960x960","","380.2",,"8.5 "
"330","40","2","P10(4s)(160x160)","DIP346 ","1/4 duty","8000","16x16","160x160","960x960","","730.6",,"13.1 "
"331","40","2","P10(4s)(320x160)","DIP346 ","1/4 duty","8000","32x16","320x160","960x960","","632.5",,"23.8 "
"332","40","2","P16","DIP346 ","1/1 duty","10000","16x16","256x256","1024x1024","","535.1",,"21.2 "
"333","40","2","P4","SMD1921","1/10 duty","5500","20x40","80x160","640x960","","728.1",,"6.5 "
"334","40","2","P5","SMD1921","1/8 duty","5500","16x32 ","80x160","640x960","","686",,"6.0 "
"335","40","2","P6.67","SMD3535","1/6 duty","5500","12x24 ","80x160","640x960","","672",,"5.8 "
"336","40","2","P8","SMD3535","1/5 duty","5500","10x20","80x160","640x960","","601.9",,"4.9 "
"337","40","2","P10","SMD3535","1/2 duty","5500","8x16 ","80x160","640x960","","559.9",,"4.4 "
